,date,open,close,high,low,money
0,2021-06-17,0.95,0.899,0.955,0.898,87233930.1
1,2021-06-18,0.881,0.885,0.888,0.855,38518501.3
2,2021-06-21,0.888,0.898,0.899,0.888,18892267.2
3,2021-06-22,0.908,0.924,0.926,0.907,14473695.9
4,2021-06-23,0.924,0.912,0.925,0.899,10023518.5
5,2021-06-24,0.921,0.917,0.922,0.917,7292501.7
6,2021-06-25,0.929,0.935,0.947,0.929,10092535.8
7,2021-06-28,0.933,0.935,0.936,0.924,6498236.2
8,2021-06-29,0.94,0.932,0.941,0.931,4724510.4
9,2021-06-30,0.937,0.935,0.937,0.931,4541909.7
10,2021-07-01,0.929,0.93,0.936,0.929,2713454.7
11,2021-07-02,0.917,0.905,0.926,0.9,28345075.5
12,2021-07-05,0.902,0.891,0.903,0.868,32198625.7
13,2021-07-06,0.885,0.895,0.911,0.884,11526659.4
14,2021-07-07,0.872,0.867,0.89,0.865,26346520.8
15,2021-07-08,0.862,0.831,0.862,0.83,31402717.2
16,2021-07-09,0.824,0.823,0.83,0.815,14448363.1
17,2021-07-12,0.833,0.828,0.842,0.826,15631338.4
18,2021-07-13,0.83,0.831,0.833,0.819,14859383.4
19,2021-07-14,0.834,0.841,0.845,0.833,18937486.9
20,2021-07-15,0.845,0.835,0.846,0.826,9874645.8
21,2021-07-16,0.839,0.817,0.839,0.815,16637839.2
22,2021-07-19,0.808,0.793,0.819,0.75,19328866.8
23,2021-07-20,0.784,0.766,0.784,0.761,31194589.3
24,2021-07-21,0.769,0.779,0.783,0.769,12629719.3
25,2021-07-22,0.793,0.817,0.824,0.793,34662934.1
26,2021-07-23,0.81,0.761,0.81,0.759,43481013.7
27,2021-07-26,0.685,0.685,0.685,0.685,7554659.5
28,2021-07-27,0.617,0.617,0.617,0.617,3719893.0
29,2021-07-28,0.555,0.555,0.555,0.555,5732151.0
30,2021-07-29,0.552,0.543,0.56,0.538,85841117.2
31,2021-07-30,0.531,0.534,0.538,0.525,55110900.2
32,2021-08-02,0.532,0.54,0.544,0.528,34020818.7
33,2021-08-03,0.541,0.533,0.541,0.532,27422176.7
34,2021-08-04,0.535,0.545,0.548,0.534,26130596.6
35,2021-08-05,0.542,0.525,0.542,0.525,49603265.4
36,2021-08-06,0.527,0.522,0.527,0.518,27745158.6
37,2021-08-09,0.521,0.534,0.536,0.519,27584984.2
38,2021-08-10,0.535,0.552,0.552,0.535,39665050.5
39,2021-08-11,0.552,0.545,0.56,0.545,29296376.8
40,2021-08-12,0.542,0.538,0.544,0.537,23879328.8
41,2021-08-13,0.532,0.527,0.534,0.526,25937379.6
42,2021-08-16,0.525,0.523,0.529,0.522,18028162.978
43,2021-08-17,0.523,0.506,0.523,0.505,41636352.1
44,2021-08-18,0.507,0.51,0.511,0.506,16213617.9
45,2021-08-19,0.511,0.51,0.519,0.51,26910626.5
46,2021-08-20,0.508,0.493,0.508,0.49,41246033.8
47,2021-08-23,0.495,0.503,0.506,0.494,33996592.7
48,2021-08-24,0.502,0.504,0.505,0.501,16498574.5
49,2021-08-25,0.521,0.526,0.53,0.519,61025493.6
50,2021-08-26,0.522,0.512,0.523,0.511,32712356.4
51,2021-08-27,0.513,0.508,0.514,0.507,17963092.7
52,2021-08-30,0.508,0.499,0.509,0.498,24079556.7
53,2021-08-31,0.504,0.504,0.506,0.5,20325448.0
54,2021-09-01,0.505,0.517,0.52,0.505,30849124.7
55,2021-09-02,0.52,0.516,0.524,0.515,34226173.1
56,2021-09-03,0.516,0.514,0.517,0.511,12530621.1
57,2021-09-06,0.517,0.523,0.524,0.515,24491151.8
58,2021-09-07,0.526,0.526,0.527,0.523,16146444.5
59,2021-09-08,0.53,0.54,0.541,0.529,50937119.6
60,2021-09-09,0.539,0.535,0.539,0.528,38276311.4
61,2021-09-10,0.532,0.533,0.538,0.531,22301273.0
62,2021-09-13,0.533,0.52,0.533,0.517,60801077.5
63,2021-09-14,0.519,0.514,0.523,0.512,34797420.7
64,2021-09-15,0.511,0.506,0.511,0.504,28095626.6
65,2021-09-16,0.502,0.492,0.504,0.492,50783206.2
66,2021-09-17,0.494,0.498,0.499,0.493,20773412.9
67,2021-09-22,0.494,0.497,0.498,0.492,18008517.7
68,2021-09-23,0.504,0.506,0.507,0.502,25475637.8
69,2021-09-24,0.505,0.502,0.508,0.501,27702710.5
70,2021-09-27,0.5,0.492,0.503,0.49,44499214.2
71,2021-09-28,0.493,0.493,0.494,0.488,24969871.7
72,2021-09-29,0.489,0.482,0.49,0.48,40125664.6
73,2021-09-30,0.48,0.479,0.481,0.477,22486836.1
74,2021-10-08,0.487,0.5,0.502,0.486,54634387.2
75,2021-10-11,0.503,0.502,0.506,0.501,45255514.3
76,2021-10-12,0.505,0.499,0.505,0.496,18510048.0
77,2021-10-13,0.51,0.511,0.514,0.502,42867424.2
78,2021-10-14,0.513,0.521,0.522,0.511,43810411.0
79,2021-10-15,0.518,0.519,0.527,0.514,49214317.0
80,2021-10-18,0.519,0.523,0.525,0.515,24590335.0
81,2021-10-19,0.52,0.518,0.523,0.517,20606059.0
82,2021-10-20,0.523,0.519,0.525,0.519,22111955.0
83,2021-10-21,0.52,0.513,0.52,0.513,19781550.7
84,2021-10-22,0.511,0.513,0.516,0.511,22422632.2
85,2021-10-25,0.513,0.505,0.513,0.503,24917662.8
86,2021-10-26,0.505,0.5,0.505,0.499,19918261.5
87,2021-10-27,0.495,0.481,0.497,0.48,60024607.6
88,2021-10-28,0.48,0.48,0.482,0.478,27839617.3
89,2021-10-29,0.481,0.481,0.483,0.478,27544080.7
90,2021-11-01,0.48,0.48,0.482,0.479,21211452.3
91,2021-11-02,0.484,0.478,0.486,0.476,34395313.8
92,2021-11-03,0.477,0.479,0.48,0.477,17704351.5
93,2021-11-04,0.478,0.478,0.48,0.478,15555279.6
94,2021-11-05,0.477,0.473,0.478,0.473,26448748.3
